12,27,7,29,3,7,12,12
13,30,23,12,13,30,29,23
1,18,30,35,12,20,27,20
20,29,12,12,6,3,12,12
3,12,12,6,3,12,20,27
6,3,12,6,3,12,12,12
6,13,6,12,3,12,1,12
29,18,3,12,6,12,12,33
18,30,3,12,32,27,27,23
12,27,6,3,7,12,12,13
12,7,6,12,7,12,6,18
7,12,6,3,12,6,19,12
12,30,3,12,3,12,31,29
20,20,6,3,12,6,12,27
3,35,18,30,3,31,7,12
12,7,6,12,7,12,6,18
12,7,6,12,7,12,6,18
1,12,27,20,12,6,12,12
20,20,26,23,20,20,26,23
18,27,3,12,23,6,3,12
3,7,7,12,32,31,12,12
12,27,7,27,7,27,7,27
26,19,13,20,26,6,19,12
12,27,12,27,12,6,19,12
12,27,12,27,12,6,19,12
12,27,12,27,12,6,19,12
12,20,20,6,24,26,24,18
12,6,3,12,12,6,3,13
12,6,3,12,12,6,3,12
6,16,3,13,30,16,3,13
12,6,3,12,13,6,3,12
20,20,12,27,18,26,27,6
18,30,6,3,7,12,13,26
1,26,3,12,6,18,20,27
26,19,12,26,18,33,18,30
3,2,6,12,6,3,12,12
12,13,31,3,7,12,6,12
1,26,20,35,7,30,7,12
3,12,11,20,26,19,7,12
3,12,11,20,26,3,12,26
3,12,12,11,20,26,3,12
1,7,12,35,3,12,31,7
12,3,6,7,12,18,30,26
1,18,30,26,18,35,7,12
26,19,12,26,18,33,18,30
3,2,6,12,6,3,12,12
12,13,31,3,7,12,6,12
1,26,20,35,7,30,7,12
3,12,11,20,26,19,7,12
3,12,11,20,26,3,12,26
26,2,6,18,27,13,3,12
26,2,6,18,27,13,3,12
26,3,12,23,6,19,12,7
27,3,12,1,12,27,18,13
6,3,13,35,3,12,12,12
26,19,12,26,18,33,18,30
3,2,6,12,6,3,12,12
12,13,31,3,7,12,6,12
12,27,19,12,12,27,19,12
12,11,12,18,1,12,30,28
35,3,12,12,31,29,6,18
20,3,7,12,11,26,3,12
18,11,26,6,19,12,27,18
12,27,19,12,12,27,19,12
12,11,12,18,1,12,30,28
20,26,23,1,20,26,3,12
20,26,23,1,20,26,3,12
18,11,26,6,19,12,27,18
12,27,19,12,12,27,19,12
12,11,12,18,1,12,30,28
26,12,3,7,7,12,6,7
26,12,3,7,7,12,6,7
26,12,3,7,7,12,6,7
18,27,12,11,18,26,6,18
18,29,3,29,23,12,6,18
20,26,3,13,20,27,18,23
12,13,1,13,30,12,12,12
12,12,30,6,18,11,26,18
26,12,6,3,13,23,20,20
12,12,6,7,12,12,30,26
1,3,29,6,3,7,7,12
21,7,30,18,23,6,7,12
18,11,26,18,18,11,26,18
18,11,26,18,18,11,26,18
1,26,30,20,26,20,26,20
7,12,27,18,6,3,12,12
18,11,26,18,18,11,26,18
18,11,26,18,18,11,26,18
1,26,30,20,26,20,26,20
7,12,27,18,6,3,12,12
1,16,3,6,13,30,29,7
26,18,1,19,12,24,3,12
1,19,7,12,6,3,12,12
7,12,33,18,30,6,12,6
18,30,12,30,13,30,11,26
6,7,30,30,23,6,7,12
18,11,26,18,18,11,26,18
18,11,26,18,18,11,26,18
1,26,30,20,26,20,26,20
7,12,27,18,6,3,12,12
18,11,26,18,18,11,26,18
18,11,26,18,18,11,26,18
1,26,30,20,26,20,26,20
7,12,27,18,6,3,12,12
26,18,7,18,11,3,26,12
18,11,26,18,18,11,26,18
18,11,26,18,18,11,26,18
1,26,30,20,26,20,26,20
7,12,27,18,6,3,12,12
18,11,26,18,18,11,26,18
18,11,26,18,18,11,26,18
1,26,30,20,26,20,26,20
7,12,27,18,6,3,12,12
12,12,6,18,2,8,12,12
18,30,26,18,35,18,6,12
29,6,7,7,12,6,12,12
12,12,18,31,1,7,12,12
7,7,12,28,3,13,30,12
35,18,27,3,13,30,3,13
25,6,18,11,26,6,18,11
13,6,3,12,13,6,3,12
35,18,27,3,13,30,3,13
3,12,27,18,6,6,12,12
12,12,18,30,20,26,19,12
6,3,12,18,30,3,7,12
12,35,27,18,35,12,27,7
7,30,18,27,29,28,19,12
4,31,12,3,12,24,26,18
20,26,18,3,12,6,19,12
20,26,18,20,26,18,20,26
20,6,12,13,20,6,12,12
3,12,26,23,3,12,12,12
4,31,12,3,12,24,26,18
20,26,18,3,12,6,19,12
20,26,18,20,26,18,20,26
12,30,12,11,26,7,6,18
12,27,3,7,2,24,26,18
4,31,12,3,12,24,26,18
20,26,18,3,12,6,19,12
12,12,30,29,18,6,3,12
29,27,29,6,18,24,26,20
6,6,18,30,7,30,6,12
20,6,33,26,6,18,31,20
7,30,3,12,6,12,1,12
13,30,24,26,1,18,30,26
20,7,12,3,12,8,6,12
13,11,26,6,18,30,24,26
3,12,6,3,12,12,12,12
29,18,30,3,7,6,3,12
1,18,30,20,35,19,12,24
12,30,3,12,12,12,26,18
6,19,12,6,7,7,12,18
18,30,24,26,6,3,7,12
24,3,12,12,1,18,30,26
